,영화명,감독,개봉일,국가,스크린수,관객수,관람가,장르,개봉연도,개봉월,흥행
5466,틴 스피릿,맥스 밍겔라,2019-09-04,미국,203,6480,12세이상,드라마,2019,9,0
5467,어둠의 아이들,사카모토 준지,2010-03-25,일본,4,6477,19세이상,드라마,2010,3,0
5468,학교괴담 : 저주의 언령,오치아이 마사유키,2015-07-02,일본,70,6469,15세이상,미스터리,2015,7,0
5469,영 앤 뷰티풀,프랑수아 오종,2013-12-05,프랑스,23,6468,19세이상,드라마,2013,12,0
5470,애니 레보비츠: 렌즈를 통해 들여다본 삶,바바라 레보비츠,2009-06-11,미국,3,6451,15세이상,다큐멘터리,2009,6,0
5471,나의 첫번째 장례식,샘 가바르스키,2014-09-11,벨기에,17,6446,15세이상,코미디,2014,9,0
5472,이스케이프 플랜 2: 하데스,스티븐 C. 밀러,2018-11-08,미국,27,6431,15세이상,액션,2018,11,0
5473,귀를 기울이면,곤도 요시후미,2007-11-22,일본,1,6430,전체,애니메이션,2007,11,0
5475,헌트,크레이그 조벨,2020-04-23,미국,30,6415,19세이상,액션,2020,4,0
5479,클랜,파블로 트라페로,2016-05-12,아르헨티나,58,6405,15세이상,범죄,2016,5,0
5480,미래를 걷는 소녀,코나카 카즈야,2009-09-17,일본,21,6397,전체,판타지,2009,9,0
5481,앙리 앙리,마틴 탈봇,2015-10-29,캐나다,61,6394,12세이상,드라마,2015,10,0
5482,"사랑, 스무살",제이크 골드버거,2018-10-25,미국,168,6367,12세이상,멜로/로맨스,2018,10,0
5483,인비저블 라이프,카림 아이노우즈,2020-06-24,기타,49,6358,19세이상,드라마,2020,6,0
5484,갈증,나카시마 테츠야,2014-12-04,일본,35,6350,19세이상,범죄,2014,12,0
5485,드래곤 네스트: 평화 기사단 VS 블랙 드래곤,송유평,2016-11-17,중국,102,6347,전체,애니메이션,2016,11,0
5486,봉신연의: 영웅의 귀환,허안,2016-09-22,홍콩,155,6343,12세이상,판타지,2016,9,0
5487,"마진 콜: 24시간, 조작된 진실",J.C 챈더,2013-01-03,미국,30,6342,15세이상,스릴러,2013,1,0
5488,사냥의 시간: 데스 게임,아론 머티스,2020-06-22,미국,1,6337,19세이상,공포(호러),2020,6,0
5489,소중한 사람,마츠이 히사코,2011-09-21,일본,11,6336,전체,드라마,2011,9,0
5490,크레이지 하트,스콧 쿠퍼,2010-03-04,미국,4,6313,15세이상,드라마,2010,3,0
5492,크랙,조던 스콧,2010-07-28,영국,12,6309,19세이상,드라마,2010,7,0
5493,챔피언 프로그램,스티븐 프리어스,2015-10-28,영국,91,6301,12세이상,드라마,2015,10,0
5494,마법사들,송일곤,2006-03-30,한국,0,6300,15세이상,드라마,2006,3,0
5495,피부색깔=꿀색,융 헤닌,2014-05-08,벨기에,48,6299,12세이상,애니메이션,2014,5,0
5496,미나미 양장점의 비밀,미시마 유키코,2016-05-19,일본,34,6296,전체,드라마,2016,5,0
5497,더 파크랜드,피터 랜즈먼,2014-03-20,미국,111,6291,15세이상,미스터리,2014,3,0
5499,인면어: 저주의 시작,데이비드 청,2019-08-14,대만,37,6290,15세이상,미스터리,2019,8,0
5500,코알라,김주환,2013-10-24,한국,65,6287,15세이상,드라마,2013,10,0
5502,맛있는 택배,기대호,2015-04-02,한국,50,6276,19세이상,멜로/로맨스,2015,4,0
5503,신의 소녀들,크리스티안 문쥬,2012-12-06,루마니아,14,6275,15세이상,드라마,2012,12,0
5504,극장판 베르세르크: 황금 시대편Ⅲ – 강림,쿠보오카 토시유키,2013-04-11,일본,13,6264,19세이상,판타지,2013,4,0
5505,체브라시카,나카무라 마코토,2013-11-14,일본,73,6261,전체,애니메이션,2013,11,0
5506,시티 오브 갓,페르난도 메이렐레스,2005-11-04,미국,0,6249,18세이상,드라마,2005,11,0
5507,에릭 클랩튼: 기타의 신,릴리 피니 자눅,2020-01-23,영국,28,6245,15세이상,다큐멘터리,2020,1,0
5508,맵 투 더 스타,데이빗 크로넨버그,2014-12-25,캐나다,29,6244,19세이상,미스터리,2014,12,0
5509,빨간 구두,세르지오 카스텔리토,2005-10-14,이탈리아,0,6237,18세이상,드라마,2005,10,0
5510,하나 빼고 완벽한 뉴욕 아파트,소피 브룩스,2018-12-27,미국,37,6234,12세이상,코미디,2018,12,0
5511,킬링 소프틀리,앤드류 도미닉,2013-04-04,미국,32,6232,19세이상,액션,2013,4,0
5512,하얀 아오자이,후인 루,2010-02-25,베트남,22,6229,15세이상,드라마,2010,2,0
5513,극장판 토미카 하이퍼레스큐 드라이브헤드,카토 타카오,2018-10-03,일본,140,6226,전체,애니메이션,2018,10,0
5514,마지막 수업,니콜라 필리베르,2003-04-21,프랑스,0,6213,전체,다큐멘터리,2003,4,0
5515,우리의 릴리,끌로드 밀러,2003-12-05,프랑스,0,6200,18세이상,드라마,2003,12,0
5516,"다시, 벚꽃",유해진,2017-04-06,한국,132,6199,12세이상,다큐멘터리,2017,4,0
5517,엑스텐션,알렉산더 아야,2003-12-31,프랑스,0,6198,18세이상,공포(호러),2003,12,0
5518,빨간머리 앤 : 네버엔딩스토리,다카하타 이사오,2014-04-17,일본,96,6167,전체,애니메이션,2014,4,0
5519,소울 키친,파티 아킨,2011-02-17,독일,9,6161,19세이상,드라마,2011,2,0
5520,헤밍웨이 인 하바나,밥 야리,2018-07-05,미국,20,6137,15세이상,드라마,2018,7,0
5521,하리수의 도색,양범,2013-10-02,홍콩,5,6131,19세이상,드라마,2013,10,0
5522,셜리에 관한 모든 것,구스타프 도이치,2013-12-26,오스트리아,7,6128,15세이상,드라마,2013,12,0
5523,스톡홀름의 마지막 연인,퍼닐라 어거스트,2017-12-21,스웨덴,47,6127,15세이상,멜로/로맨스,2017,12,0
5524,클린,올리비에 아사야스,2004-11-26,프랑스,0,6124,15세이상,드라마,2004,11,0
5525,도쿄택시,김태식,2010-05-20,한국,13,6109,전체,드라마,2010,5,0
5526,나쁜 사랑,브누와 쟉꼬,2015-04-16,프랑스,35,6107,15세이상,멜로/로맨스,2015,4,0
5527,거친 녀석들,월트 벡커,2007-08-30,미국,0,6102,12세이상,코미디,2007,8,0
5529,요술,구혜선,2010-06-24,한국,33,6090,15세이상,드라마,2010,6,0
5530,레스트리스,구스 반 산트,2011-10-27,미국,11,6083,12세이상,드라마,2011,10,0
5534,모든 비밀스러운 것들,에이미 버그,2015-07-02,미국,49,6077,15세이상,스릴러,2015,7,0
5535,리턴 투 센더,포아드 미카티,2016-03-10,미국,142,6062,15세이상,범죄,2016,3,0
5536,시크릿 레터,쥬세페 토르나토레,2017-11-23,이탈리아,79,6056,12세이상,드라마,2017,11,0
5537,디터 람스,게리 허스트윗,2019-08-22,미국,11,6051,전체,다큐멘터리,2019,8,0
5538,초인,서은영,2016-05-05,한국,30,6034,12세이상,멜로/로맨스,2016,5,0
5539,금발의 초원,이누도 잇신,2006-09-28,일본,0,6033,12세이상,멜로/로맨스,2006,9,0
5540,선물 가게를 지나야 출구,뱅크시,2011-08-18,미국,13,6032,12세이상,다큐멘터리,2011,8,0
5541,천년여우,곤 사토시,2004-07-09,일본,0,6028,12세이상,스릴러,2004,7,0
5542,진격의 거인: 자유의 날개,아라키 테츠로,2015-12-10,일본,37,6026,15세이상,애니메이션,2015,12,0
5543,피나 바우쉬의 댄싱 드림즈,라이너 호프만,2011-01-20,독일,2,6010,12세이상,다큐멘터리,2011,1,0
5544,엘시드 - 전설의 영웅,호셉 포조,2004-02-13,스페인,0,6004,전체,사극,2004,2,0
5545,블러드 심플,조엘 코엔,2019-10-17,미국,30,6001,15세이상,범죄,2019,10,0
5546,논픽션 다이어리,정윤석,2014-07-17,한국,28,6000,15세이상,다큐멘터리,2014,7,0
5548,영웅 - 샐러멘더의 비밀,알렉산드르 야킴추크,2013-03-14,러시아,39,5987,15세이상,액션,2013,3,0
5549,지구 최후의 밤,비간,2019-07-25,중국,1,5967,12세이상,드라마,2019,7,0
5550,몽 루아,마이웬 르 베스코,2016-05-26,프랑스,41,5961,19세이상,멜로/로맨스,2016,5,0
5551,"조금씩, 천천히 안녕",나카노 료타,2020-05-27,일본,166,5960,전체,가족,2020,5,0
5552,댄싱 베토벤,아란사 아귀레,2018-02-22,스페인,43,5952,전체,다큐멘터리,2018,2,0
5553,호야와 토리: 드래곤 숲의 비밀,하타 마사미,2015-06-04,일본,198,5950,전체,애니메이션,2015,6,0
5554,블랙딜,이조훈,2014-07-03,한국,74,5947,12세이상,다큐멘터리,2014,7,0
5555,리그렛,세드릭 칸,2012-04-19,프랑스,6,5934,19세이상,멜로/로맨스,2012,4,0
5556,베일을 쓴 소녀,기욤 니클루,2014-01-23,프랑스,16,5930,19세이상,드라마,2014,1,0
5557,다운 어 다크 홀,로드리고 코르테스,2019-09-26,미국,94,5920,12세이상,드라마,2019,9,0
5560,극장판 마법소녀 마도카 마기카(전편): 시작의 이야기,신보 아키유키,2013-07-20,일본,10,5916,12세이상,애니메이션,2013,7,0
5562,웰컴 투 마이 하트,제이크 스콧,2012-02-02,영국,15,5914,19세이상,드라마,2012,2,0
5563,톰과 제리 아카데미 가다,조셉 바바라,2014-12-11,미국,54,5909,전체,애니메이션,2014,12,0
5564,바이 더 씨,안젤리나 졸리,2016-04-28,미국,40,5908,19세이상,드라마,2016,4,0
5567,러브 인 아프리카,까롤리네 링크,2004-12-10,독일,0,5907,15세이상,드라마,2004,12,0
5569,극장판 울려라! 유포니엄,이시하라 타츠야,2016-09-01,일본,72,5899,전체,애니메이션,2016,9,0
5570,환상의 마로나,안카 다미안,2020-06-11,프랑스,48,5892,전체,애니메이션,2020,6,0
5571,한낮의 유성,신조 타케히코,2018-04-19,일본,108,5881,12세이상,멜로/로맨스,2018,4,0
5572,파리의 밤이 열리면,에두아르 바에르,2017-06-22,프랑스,28,5877,12세이상,코미디,2017,6,0
5573,엔테베 작전,호세 파딜라,2018-06-07,미국,103,5874,12세이상,범죄,2018,6,0
5574,짚의 방패,미이케 다카시,2013-08-29,일본,30,5870,15세이상,액션,2013,8,0
5575,미드소마 감독판,아리 애스터,2019-10-03,미국,37,5865,19세이상,공포(호러),2019,10,0
5576,천주정,지아 장 커,2014-03-27,중국,22,5864,19세이상,액션,2014,3,0
5577,해로 (偕老),최종태,2012-03-22,한국,24,5851,12세이상,드라마,2012,3,0
5578,이탈리아 횡단밴드,로코 파팔레오,2012-09-20,이탈리아,9,5848,15세이상,코미디,2012,9,0
5579,몬스터 랜드,아르튀르 드 팽,2019-05-16,프랑스,197,5841,전체,애니메이션,2019,5,0
5581,순응자,베르나르도 베르톨루치,2016-01-28,이탈리아,8,5839,19세이상,드라마,2016,1,0
5583,디판,자크 오디아르,2015-10-22,프랑스,30,5821,19세이상,드라마,2015,10,0
5585,열두살 샘,구스타보 론,2012-04-12,스페인,15,5816,12세이상,드라마,2012,4,0
5586,"1991, 봄",권경원,2018-10-31,한국,26,5811,12세이상,다큐멘터리,2018,10,0
5587,종로의 기적,이혁상,2011-06-02,한국,14,5809,15세이상,다큐멘터리,2011,6,0
5588,더 스토닝,사이러스 노라스테,2012-06-14,미국,17,5806,19세이상,드라마,2012,6,0
5590,간츠,사토 신스케,2011-07-28,일본,18,5798,15세이상,액션,2011,7,0
5591,엉클 분미,아핏차퐁 위라세타쿤,2010-09-16,태국,1,5792,15세이상,판타지,2010,9,0
5592,나의 마지막 수트,파블로 솔라즈,2018-09-06,아르헨티나,21,5790,12세이상,드라마,2018,9,0
5593,비포 : 하늘을 나는 강아지의 모험,이도 엔젤,2014-03-13,이스라엘,87,5781,전체,애니메이션,2014,3,0
5594,크로닉,미셸 프랑코,2016-04-14,멕시코,43,5772,15세이상,드라마,2016,4,0
5595,루키스,원금린,2020-05-20,중국,277,5761,15세이상,액션,2020,5,0
5596,렛 더 선샤인 인,클레르 드니,2018-04-26,프랑스,25,5756,15세이상,코미디,2018,4,0
5597,더 차일드,장 피에르 다르덴,2006-01-27,벨기에,0,5748,12세이상,드라마,2006,1,0
5598,레이첼 결혼하다,조나단 드미,2009-02-26,미국,5,5747,15세이상,드라마,2009,2,0
5599,차일드 인 타임,줄리언 파리노,2020-01-09,영국,75,5744,15세이상,드라마,2020,1,0
5600,위키드 블러드,마크 영,2014-07-17,미국,20,5742,19세이상,액션,2014,7,0
5601,인사이드잡,찰스 퍼거슨,2011-05-19,미국,4,5741,12세이상,다큐멘터리,2011,5,0
5602,바흐 이전의 침묵,페레 포르타벨라,2010-10-21,스페인,2,5736,15세이상,뮤지컬,2010,10,0
5603,마이 라띠마,유지태,2013-06-06,한국,29,5732,19세이상,멜로/로맨스,2013,6,0
5605,러시안 소설,신연식,2013-09-19,한국,16,5722,15세이상,드라마,2013,9,0
5606,파우스트,알렉산더 소쿠로프,2012-12-06,러시아,2,5706,19세이상,공연,2012,12,0
5631,돈키호테를 죽인 사나이,테리 길리엄,2019-05-23,스페인,42,5699,12세이상,드라마,2019,5,0
5632,준벅,필 모리슨,2007-06-28,미국,0,5684,19세이상,드라마,2007,6,0
5633,행동하는 양심 김대중,신상민,2019-11-28,한국,86,5676,12세이상,다큐멘터리,2019,11,0
5634,청년 마르크스,라울 펙,2018-05-17,프랑스,25,5667,15세이상,드라마,2018,5,0
5635,신의 은총으로,프랑수아 오종,2020-01-16,프랑스,41,5666,15세이상,드라마,2020,1,0
5637,헨리스 크라임,말콤 벤빌,2013-01-31,미국,65,5663,15세이상,범죄,2013,1,0
5638,더블샤크,크리스토퍼 레이,2013-09-05,미국,5,5650,19세이상,공포(호러),2013,9,0
5639,극장판 마법소녀 마도카 마기카(신편): 반역의 이야기,신보 아키유키,2018-03-15,일본,62,5647,12세이상,애니메이션,2018,3,0
5640,마르지엘라,라이너 홀제메르,2020-09-30,기타,31,5637,전체,다큐멘터리,2020,9,0
5641,보희와 녹양,안주영,2019-05-29,한국,25,5633,12세이상,드라마,2019,5,0
5642,아버지와 이토씨,타나다 유키,2017-04-20,일본,94,5631,12세이상,드라마,2017,4,0
5643,동경심판,고군서,2007-03-01,중국,0,5627,12세이상,드라마,2007,3,0
5644,말하는 건축 시티:홀,정재은,2013-10-24,한국,31,5619,전체,다큐멘터리,2013,10,0
5645,셀,토드 윌리엄스,2016-06-29,미국,77,5617,19세이상,공포(호러),2016,6,0
5646,악마가 너의 죽음을 알기전에,시드니 루멧,2009-05-14,미국,1,5606,19세이상,드라마,2009,5,0
5647,미스 프레지던트,김재환,2017-10-26,한국,76,5605,12세이상,다큐멘터리,2017,10,0
5649,트루 시크릿,사피 네부,2019-10-03,프랑스,26,5600,19세이상,드라마,2019,10,0
5650,킬링시즌,마크 스티븐 존슨,2013-09-05,미국,102,5598,19세이상,액션,2013,9,0
5651,내 여자의 남자친구,박성범,2007-03-22,한국,0,5587,19세이상,드라마,2007,3,0
5652,서유기 : 모험의 시작,주성치,2015-02-05,중국,73,5585,12세이상,코미디,2015,2,0
5653,아티스트: 다시 태어나다,김경원,2017-03-09,한국,119,5579,15세이상,드라마,2017,3,0
5654,어른이 되면,장혜영,2018-12-13,한국,25,5567,전체,다큐멘터리,2018,12,0
5655,러브 인 프로방스,로젤린 보쉬,2015-10-08,프랑스,34,5563,15세이상,드라마,2015,10,0
5656,극장판 마법소녀 마도카 마기카(후편): 영원의 이야기,신보 아키유키,2013-07-20,일본,10,5561,12세이상,애니메이션,2013,7,0
5658,파이어 : 테러와의 전쟁,라울 W. 하임리히,2014-07-10,독일,20,5559,15세이상,액션,2014,7,0
5659,백엔의 사랑,타케 마사하루,2016-06-16,일본,26,5552,19세이상,멜로/로맨스,2016,6,0
5661,스탈린이 죽었다!,아만도 이아누치,2019-04-18,프랑스,26,5546,15세이상,코미디,2019,4,0
5662,버터 러버,짐 필드 스미스,2013-10-17,미국,5,5545,15세이상,드라마,2013,10,0
5663,新극장판 이니셜D: 레전드3 -몽현-,히다카 마사미츠,2016-08-25,일본,55,5544,12세이상,애니메이션,2016,8,0
5664,가까이서 본 기차,이리 멘젤,2007-05-10,체코,2,5539,15세이상,전쟁,2007,5,0
5665,비밀의 화방,진달래,2013-12-12,한국,5,5530,19세이상,드라마,2013,12,0
5666,부력,로드 라스젠,2020-06-25,호주,90,5523,15세이상,드라마,2020,6,0
5667,시인 할매,이종은,2019-02-05,한국,102,5516,전체,다큐멘터리,2019,2,0
5668,비히클 19,무쿤다 마이클 드윌,2013-10-09,미국,11,5511,15세이상,스릴러,2013,10,0
5669,극장판 울트라맨 우주 몬스터 대결전,사카모토 코이치,2016-04-13,일본,136,5510,전체,액션,2016,4,0
5670,백설공주: 또 다른 이야기,레이첼 골덴버그,2013-10-17,미국,5,5501,15세이상,판타지,2013,10,0
5671,어떤 나라,대니얼 고든,2005-08-26,영국,0,5499,12세이상,다큐멘터리,2005,8,0
5672,야관문: 욕망의 꽃,임경수,2013-11-07,한국,90,5491,19세이상,미스터리,2013,11,0
5673,아이 킬드 마이 마더,자비에 돌란,2015-01-15,캐나다,15,5488,19세이상,드라마,2015,1,0
5674,투 타이거,산드로 세카,2013-09-26,이탈리아,5,5480,19세이상,액션,2013,9,0
5675,"베로니카, 죽기로 결심하다",에밀리 영,2009-11-19,미국,12,5477,15세이상,드라마,2009,11,0
5679,스퀴시랜드,김태익,2014-06-04,한국,55,5473,전체,애니메이션,2014,6,0
5681,프랑켄슈타인,대니 보일,2019-03-14,미국,15,5461,15세이상,공연,2019,3,0
5682,맛있는 사랑공식-섹스,이세일,2013-10-31,한국,5,5460,19세이상,멜로/로맨스,2013,10,0
5683,온다,나카시마 테츠야,2020-03-26,일본,163,5456,15세이상,공포(호러),2020,3,0
5684,아메리칸 배틀쉽,썬더 레빈,2013-09-16,미국,2,5452,15세이상,액션,2013,9,0
5685,극장판 요술공주 밍키: 꿈 속의 윤무,유야마 쿠니히코,2013-11-14,일본,105,5438,전체,애니메이션,2013,11,0
5687,그들이 진심으로 엮을 때,오기가미 나오코,2017-11-16,일본,55,5436,12세이상,가족,2017,11,0
5688,리틀 포니 프린세스,지오지오 세라피니,2019-04-30,미국,1,5435,전체,판타지,2019,4,0
5689,당신과 함께한 순간들,마이클 알메레이다,2017-10-19,미국,27,5433,15세이상,드라마,2017,10,0
5691,오늘의 사건사고,유키사다 이사오,2006-04-06,일본,0,5423,12세이상,멜로/로맨스,2006,4,0
5692,라임라이프,데릭 마티니,2010-09-02,미국,23,5418,19세이상,코미디,2010,9,0
5693,유윌 미스 미,아만다 스테르스,2010-02-11,프랑스,10,5414,12세이상,드라마,2010,2,0
5694,삼총사2013,콜 S. 맥케이,2013-08-29,미국,3,5410,19세이상,스릴러,2013,8,0
5696,구세주: 리턴즈,송창용,2017-09-14,한국,124,5401,15세이상,코미디,2017,9,0
5697,레퓨지,프랑수아 오종,2010-07-15,프랑스,15,5399,19세이상,드라마,2010,7,0
5700,브레이브 래빗 : 새로운 영웅의 탄생,증헌림,2014-08-28,중국,60,5382,전체,애니메이션,2014,8,0
5701,해피 고 럭키,마이크 리,2008-11-20,영국,1,5373,15세이상,멜로/로맨스,2008,11,0
5702,포스 마쥬어: 화이트 베케이션,루벤 외스틀룬드,2015-03-12,스웨덴,36,5372,15세이상,드라마,2015,3,0
5703,이브 생 로랑의 라무르,피에르 소레톤,2011-04-21,프랑스,3,5368,전체,다큐멘터리,2011,4,0
5704,커피 메이트,이현하,2017-03-01,한국,99,5361,19세이상,멜로/로맨스,2017,3,0
5705,호랑이와 눈,로베르토 베니니,2007-09-13,이탈리아,0,5358,12세이상,코미디,2007,9,0
5707,사랑하고 싶은 시간,실비오 솔디니,2010-12-02,이탈리아,7,5343,19세이상,드라마,2010,12,0
5708,백은제국,요수화,2013-12-24,중국,5,5340,15세이상,액션,2013,12,0
5709,서태지 8집: 398일의 기록,서태지,2012-07-27,한국,1,5326,전체,다큐멘터리,2012,7,0
5710,최민수의 어쌔씬 코드,래리 리긴스,2013-12-24,미국,5,5320,19세이상,액션,2013,12,0
5711,빛나는,가와세 나오미,2017-11-23,일본,53,5314,12세이상,멜로/로맨스,2017,11,0
5712,Mr.스타벅,켄 스콧,2012-09-13,캐나다,27,5312,15세이상,코미디,2012,9,0
5713,극장판 페어리 테일: 드래곤 크라이,미나미카와 타츠마,2018-05-31,일본,97,5295,12세이상,애니메이션,2018,5,0
5714,화양: 당대최고수전,주미령,2013-12-12,대만,5,5291,15세이상,판타지,2013,12,0
5715,여름의 조각들,올리비에 아사야스,2009-03-26,프랑스,7,5288,12세이상,드라마,2009,3,0
5717,당신은 아직 아무것도 보지 못했다,알랭 레네,2012-11-22,프랑스,6,5287,15세이상,드라마,2012,11,0
5719,잘나가는 그녀에게 왜 애인이 없을까,수 크레이머,2008-03-06,미국,3,5285,15세이상,코미디,2008,3,0
5720,뒷담화: 감독이 미쳤어요,이재용,2013-02-28,한국,39,5284,12세이상,드라마,2013,2,0
5721,여의도,송정우,2010-12-02,한국,24,5280,19세이상,스릴러,2010,12,0
5722,테레사 팔머의 감금,데이비드 데닌,2013-11-28,호주,4,5279,19세이상,스릴러,2013,11,0
5723,퍼시픽 모비딕,트레이 스톡스,2013-08-14,미국,5,5270,15세이상,스릴러,2013,8,0
5724,극장판 시로바코,미즈시마 츠토무,2020-08-20,일본,64,5267,12세이상,애니메이션,2020,8,0
5725,굿나잇,제이크 팰트로,2008-01-24,미국,5,5263,15세이상,코미디,2008,1,0
5726,러블리 몰리,에두아르도 산체스,2013-08-08,미국,5,5262,19세이상,공포(호러),2013,8,0
5727,서산개척단,이조훈,2018-05-24,한국,52,5260,12세이상,다큐멘터리,2018,5,0
5728,원 와일드 모먼트,장-프랑소와 리셰,2015-08-27,프랑스,40,5258,19세이상,코미디,2015,8,0
5729,드래곤 포스 극장판,토미 왕,2016-11-17,미국,144,5256,전체,애니메이션,2016,11,0
5730,프리즈 프레임,존 심슨,2005-07-07,아일랜드,0,5253,15세이상,드라마,2005,7,0
5731,열두 번째 용의자,고명성,2019-10-10,한국,111,5249,12세이상,미스터리,2019,10,0
5733,잡식가족의 딜레마,황윤,2015-05-07,한국,18,5247,전체,다큐멘터리,2015,5,0
5734,오르가즘,조 솔,2013-12-19,스페인,5,5246,19세이상,다큐멘터리,2013,12,0
5735,에이리언 둠스데이,마크 앳킨스,2013-10-10,미국,5,5240,15세이상,SF,2013,10,0
5736,믹막: 티르라리고 사람들,장 피에르 주네,2012-05-10,프랑스,13,5226,15세이상,코미디,2012,5,0
5737,"동거, 동락",김태희,2008-03-27,한국,8,5224,19세이상,멜로/로맨스,2008,3,0
5738,사대명포,진가상,2013-10-31,중국,5,5220,15세이상,판타지,2013,10,0
5739,사무라이,지오다노 게데리니,2004-02-20,프랑스,0,5216,15세이상,액션,2004,2,0
5740,낯선 여인과의 하루,한스 카노사,2007-01-25,영국,0,5214,18세이상,드라마,2007,1,0
5742,제로법칙의 비밀,테리 길리엄,2014-08-14,미국,17,5212,15세이상,SF,2014,8,0
5743,비행소년,자비에 지메네즈,2014-01-15,스페인,5,5210,19세이상,드라마,2014,1,0
5744,인랜드 엠파이어,데이빗 린치,2007-07-26,폴란드,0,5204,15세이상,미스터리,2007,7,0
5745,비버,조디 포스터,2012-04-12,미국,26,5194,12세이상,코미디,2012,4,0
5746,데드풀 2: 순한맛,데이빗 레이치,2019-01-03,미국,17,5191,12세이상,액션,2019,1,0
5747,수호지-불사영웅 석수,류신의,2013-10-31,중국,5,5190,15세이상,액션,2013,10,0
5748,신촌좀비만화,류승완,2014-05-15,한국,46,5187,19세이상,드라마,2014,5,0
5749,공포분자,에드워드 양,2020-09-17,기타,52,5185,15세이상,드라마,2020,9,0
5750,고릴라와 슈퍼레이스,라스무스 A. 실버르센,2019-04-03,노르웨이,183,5174,전체,애니메이션,2019,4,0
5752,돌아와요 부산항애(愛),박희준,2018-01-17,한국,88,5163,15세이상,범죄,2018,1,0
5753,쓰리 타임즈,허우 샤오시엔,2007-02-14,대만,0,5162,15세이상,드라마,2007,2,0
5754,스톨른,사이먼 웨스트,2013-07-31,미국,17,5161,19세이상,액션,2013,7,0
5755,정사2013,이나라 콜마네,2014-01-02,아이슬란드,5,5155,19세이상,드라마,2014,1,0
5756,우리개 이야기,이누도 잇신,2006-06-08,일본,0,5150,전체,드라마,2006,6,0
5758,커튼콜,류훈,2016-12-08,한국,80,5140,15세이상,코미디,2016,12,0
5759,월성,남태제,2019-12-12,한국,26,5138,전체,다큐멘터리,2019,12,0
5760,하트 비트,자비에 돌란,2010-11-25,캐나다,9,5133,19세이상,드라마,2010,11,0
5761,하나레이 베이,마츠나가 다이시,2019-06-06,일본,31,5128,15세이상,드라마,2019,6,0
5762,비독: 파리의 황제,장-프랑소와 리셰,2020-09-17,프랑스,182,5120,15세이상,액션,2020,9,0
5763,마세티 킬즈,로버트 로드리게즈,2013-11-21,미국,21,5115,19세이상,코미디,2013,11,0
5764,내부고발자,라리사 콘드랙키,2013-10-24,미국,5,5108,19세이상,범죄,2013,10,0
5765,도쿄 소나타,구로사와 기요시,2009-03-19,일본,3,5106,12세이상,드라마,2009,3,0
5766,장강7호 : 내친구 마법요정,원건도,2013-08-22,홍콩,64,5104,전체,애니메이션,2013,8,0
5767,울트라맨 사가,오카 히데키,2015-02-26,일본,108,5103,전체,액션,2015,2,0
5768,리키,프랑수아 오종,2010-02-04,프랑스,23,5102,12세이상,코미디,2010,2,0
5769,붉은 바캉스 검은 웨딩 2,최낙권,2013-11-28,한국,20,5100,19세이상,스릴러,2013,11,0
5770,암살교실,하스미 에이이치로,2015-08-27,일본,55,5097,12세이상,액션,2015,8,0
5771,엠마,어텀 드 와일드,2020-02-27,영국,18,5094,12세이상,코미디,2020,2,0
5773,미스터 빌리:하일랜드의 수호자,샤샤 하트만,2013-05-30,영국,61,5085,전체,애니메이션,2013,5,0
5775,스티븐 시걸의 비밀경찰,라우로 차트랜드,2014-01-29,미국,5,5078,19세이상,액션,2014,1,0
5776,라이즈 오브 더 레전드: 황비홍,주현량,2015-09-10,홍콩,51,5077,15세이상,액션,2015,9,0
5777,운동회,김진태,2018-03-22,한국,81,5075,12세이상,가족,2018,3,0
5778,선샤인 클리닝,크리스틴 제프스,2009-09-03,미국,11,5073,15세이상,코미디,2009,9,0
5780,더 팩트,니콜라스 맥카시,2013-08-14,미국,5,5070,15세이상,공포(호러),2013,8,0
5781,화려한 외출,고경아,2013-12-05,한국,20,5067,19세이상,드라마,2013,12,0
5782,후쿠오카,장률,2020-08-27,한국,101,5064,15세이상,드라마,2020,8,0
5783,논스톱: 분노의 질주,다니엘 칼파소로,2013-11-28,스페인,5,5063,19세이상,액션,2013,11,0
5784,화이트 타이거: 최강전차군단,카렌 샤크나자로브,2013-10-17,러시아,5,5058,15세이상,액션,2013,10,0
5785,빌로우 허,에이프릴 뮬렌,2017-09-21,캐나다,65,5056,19세이상,드라마,2017,9,0
5786,바캉스,박선욱,2013-10-17,한국,21,5051,19세이상,스릴러,2013,10,0
5787,탐욕의 제국,홍리경,2014-03-06,한국,19,5049,12세이상,다큐멘터리,2014,3,0
5788,사랑이 뭘까,이마이즈미 리키야,2020-04-09,일본,132,5045,15세이상,멜로/로맨스,2020,4,0
5789,타인의 아내를 사랑하다,블라디미르 크루즈,2014-01-09,스페인,5,5044,19세이상,멜로/로맨스,2014,1,0
5790,거짓말,김동명,2015-10-29,한국,30,5043,19세이상,드라마,2015,10,0
5794,나만 없어 고양이,복운석,2019-08-22,한국,39,5038,전체,가족,2019,8,0
5795,매뉴얼 오브 러브,지오바니 베로네시,2008-02-14,이탈리아,8,5036,19세이상,멜로/로맨스,2008,2,0
5796,섹스중독자들,사릭 안드레아시안,2013-11-21,러시아,5,5033,19세이상,멜로/로맨스,2013,11,0
5797,나폴레옹 토레스전투,발레리아 사미엔토,2013-11-14,포르투갈,5,5032,19세이상,전쟁,2013,11,0
